pem_capex,pem_opex_pct,pem_eff,stack_lifetime,stack_replace_pct,solar_capex,wind_capex,solar_cf,wind_cf,wacc,lifetime,lcoh_eur_mwh,lcoh_eur_kg
1168.4238669126753,3.239087903872546,64.399838975892,68228.8131053191,18.694512336922426,774.8154416330489,1763.8100588712095,0.1631084966886912,0.31881415356859166,0.09786867773490447,26.005086392697915,182.3679024274179,6.0783221879058384
1303.5177810205014,2.4585609635388113,67.39669619025979,89795.56447485083,26.353754005484873,783.3414787190045,1616.0451059106,0.16328463036348048,0.26972261781817525,0.08685422336301346,25.325125572412283,170.22790904201835,5.673696208370471
1260.630525251213,3.595226262369367,61.879357998036674,83706.63541986485,20.55836121108273,766.2251937787742,1523.8914171185252,0.14476695022331512,0.2978842710245912,0.09057855219857076,23.139913404975395,192.66984766378897,6.421686022634086
1362.9631555383585,3.5844763492597487,62.36298026342199,71623.93652523472,21.352114889083946,619.3162477156206,1760.4394502236546,0.15125838790322912,0.3615675447648687,0.0744829467381768,24.77520816411238,161.54558540280556,5.384314361475509
1304.5706860941534,3.1582743429066538,67.87751310968744,75224.62463782939,26.473635096729268,903.2140914915908,1479.9813590197662,0.16413815180703814,0.3583512739551981,0.07990099421406768,22.35470428798499,158.34696703881045,5.277704411403551
1207.139444553692,2.5879821219229853,67.32133456750789,72463.81907942786,27.28786223690745,880.6808015318859,1693.7830806731008,0.15705271044104968,0.332887440411682,0.08060050065283424,24.77672920436572,160.02531701990594,5.333643816273465
1380.1029786767656,2.3333924251433005,67.61933152786465,87016.88656001478,22.280706437531027,682.5125575406342,1528.5247924983123,0.1781052672021387,0.25518798355005823,0.0745983991199868,24.687231341632845,151.07119553408023,5.035202947150894
1114.721278179238,4.452994825635557,64.40471499648807,85170.30968015347,23.234661739684746,726.5658688129612,1796.1443878023517,0.17208072429097654,0.2573629383970746,0.07075249582404558,26.116222343346003,163.16010227393207,5.438126208790156
1010.7512294875777,3.4478040612777283,71.04781249290617,75605.36693135198,23.42774565992884,828.7494274928017,1551.4504199093549,0.1596550379666656,0.32658914763658226,0.072196468051934,23.670338270739936,132.68882804175863,4.422518638631814
1070.9660174430892,3.8444440234301447,66.84861399272091,66592.98594535475,20.95419658722796,764.5832911839101,1463.2573107033886,0.16314317534560402,0.29386257715256886,0.07597003346875185,24.432919485555445,146.16143061919863,4.871560482537889
1331.324417103223,3.5435638370844025,70.64829379527995,71618.63193228765,36.41465755687331,1174.9014334194858,1666.7229965301067,0.16531967028669559,0.3306228726070437,0.07837384602125182,24.536442054228896,173.9138556971664,5.796548810386557
1225.9519815122137,3.9074413774748846,63.71353287987759,82792.47516523505,29.25639604564917,808.628685943564,1761.9962425359176,0.16526180169201854,0.27475858809530745,0.0638699955774951,22.930050425002065,167.01979461852827,5.566769754635547
1111.884724705453,2.4236215695195993,65.83338313731127,68502.8374751869,20.264072364319862,1010.7228824435124,1754.3628791460642,0.1673852026501656,0.3706322680419053,0.07953626320979551,26.34293629104693,155.20158849877578,5.172868944664197
1239.8217684629935,3.123474373164414,65.31013969637624,80743.11553428044,24.44934100773459,700.8047531103812,1540.1750560058524,0.1580490995722969,0.2780145096620999,0.08058451833068603,25.933558439385816,160.09170162173734,5.335856415052505
1107.323605002205,3.4735247769832798,68.16652841439404,82402.93233917748,21.56891915766983,832.5798488292078,1522.2194334760363,0.1431656758326451,0.3051344990601157,0.07949771362095524,24.476453255280738,156.38019489106102,5.212151895719064
1319.0076469371654,2.2367475649433084,68.10825054330388,84195.02884451553,22.654837250473037,745.726442575997,1345.8938292368446,0.18747010348348678,0.27508339948196747,0.08194410621067184,22.814265428094313,147.85806079853361,4.928109166415125
1220.527513051668,2.387284612722515,66.3929397493528,70014.2196906432,35.23598552151316,1058.8454871974145,1226.0696282408173,0.1347997674930494,0.30956313906739785,0.06846724586997395,26.739415369578534,155.17121371205764,5.171856553022881
