firm,fraction,label,feasible,co2_baseline_MtCO2,co2_realised_MtCO2,npv_eur,npv_baseline_eur,npv_premium_pct,shadow_price_eur_tco2,cavern_2025_mwh,elapsed_s
TotalEnergies,0.25,25%,True,13.661640090363742,0.4366950031849766,5495473109.340152,5112300440.105258,7.495112498259293,18.02961353155205,1295198.2001251532,19.120189666748047
TotalEnergies,0.1,10%,True,13.661640090363742,0.0,5537639621.679677,5112300440.105258,8.319917550965794,29.66540669390082,1351477.7727749601,23.61133313179016
TotalEnergies,0.05,5%,True,13.661640090363742,0.0,5571397500.427388,5112300440.105258,8.980244132770054,71.46013469892114,1558589.747347747,23.414111852645874
TotalEnergies,0.0,0%,True,13.661640090363742,0.0,5709229032.247716,5112300440.105258,11.67632065321591,1253.4955534559308,1771278.0583899794,11.457319021224976
BP,1.0,Unconstrained,True,12.231777423765678,12.231777423765678,4081638969.7398386,4081638969.7398386,0.0,,8.818983899314621e-11,16.079208612442017
BP,0.9,90%,True,12.231777423765678,2.103195887533794,4320400089.058069,4081638969.7398386,5.849638370476673,13.639239561775206,688278.6484773126,26.79362154006958
BP,0.75,75%,True,12.231777423765678,1.7124198473689325,4345920185.310913,4081638969.7398386,6.474879761056362,13.99153868693677,714375.0164525011,20.80206298828125
BP,0.5,50%,True,12.231777423765678,1.0707602660123592,4389381840.570688,4081638969.7398386,7.539688667037225,14.87105042131595,849451.7469236772,19.431697130203247
BP,0.25,25%,True,12.231777423765678,0.3704029300998466,4438260471.216537,4081638969.7398386,8.737213264587918,17.736756960722516,797536.5102692056,20.2505784034729
BP,0.1,10%,True,12.231777423765678,0.0,4476234261.991155,4081638969.7398386,9.667569698759216,29.254220537889182,913404.3879769188,21.16568112373352
BP,0.05,5%,True,12.231777423765678,0.0,4506484865.346814,4081638969.7398386,10.408708333996897,67.31863407969244,1194353.3610773548,16.952601432800293
BP,0.0,0%,True,12.231777423765678,0.0,4641889117.404562,4081638969.7398386,13.726107375450546,2053.639750877561,1370005.60541154,11.371649980545044
Eni,1.0,Unconstrained,True,5.299401376887724,5.299401376887724,2053594706.4297318,2053594706.4297318,0.0,,-0.0,18.914315223693848
Eni,0.9,90%,True,5.299401376887724,0.920218680818978,2142561262.9914355,2053594706.4297318,4.332235386230421,10.944390522153384,486874.1338973869,20.165823221206665
Eni,0.75,75%,True,5.299401376887724,0.7576637925305069,2152606756.004261,2053594706.4297318,4.821401675049408,13.489762014057135,532597.3448074525,24.716670274734497
Eni,0.5,50%,True,5.299401376887724,0.4735271132530787,2171077440.9093513,2053594706.4297318,5.720833527267355,14.467960481252724,531705.4867644496,19.433757543563843
Eni,0.25,25%,True,5.299401376887724,0.1716796765719518,2192633913.4305453,2053594706.4297318,6.770528116647689,18.116390440273136,544297.6453546542,22.006221771240234
Eni,0.1,10%,True,5.299401376887724,0.0,2208896099.814336,2053594706.4297318,7.5624169120791285,23.453869225568724,535942.4559127255,15.90811800956726
Eni,0.05,5%,True,5.299401376887724,0.0,2219638233.9217405,2053594706.4297318,8.085506208802173,52.08624047660684,628949.3491226456,18.432886362075806
Eni,0.0,0%,True,5.299401376887724,0.0,2264647703.2743177,2053594706.4297318,10.277246828879449,1304.9825262277227,721687.7743476385,11.625957250595093
Repsol,1.0,Unconstrained,True,10.714660939595227,10.714660939595227,4013490141.9303584,4013490141.9303584,0.0,,-0.0,19.2447452545166
Repsol,0.9,90%,True,10.714660939595227,1.8589448109454336,4210051401.8885517,4013490141.9303584,4.897514457669838,12.003220055870294,885018.383000284,16.886717081069946
Repsol,0.75,75%,True,10.714660939595227,1.5198825828549611,4230850251.450177,4013490141.9303584,5.415737969528833,13.609846086732013,947804.6737125749,21.04414677619934
Repsol,0.5,50%,True,10.714660939595227,0.946281926505584,4268250049.4867187,4013490141.9303584,6.347590215677701,14.02445016388505,982048.7681767419,18.43861746788025
Repsol,0.25,25%,True,10.714660939595227,0.34573901201860313,4311641184.706626,4013490141.9303584,7.428722439389546,17.960510212856274,1002499.2566065998,19.037564039230347
Repsol,0.1,10%,True,10.714660939595227,0.0,4344596269.9361105,4013490141.9303584,8.249830354547738,29.29695531983799,1042564.4450504589,17.512136459350586
Repsol,0.05,5%,True,10.714660939595227,0.0,4370213553.416943,4013490141.9303584,8.888109821418722,68.82626853893294,1224492.402767254,20.70343780517578
Repsol,0.0,0%,True,10.714660939595227,0.0,4472333405.710307,4013490141.9303584,11.432524998286397,1245.45674701392,1385947.3930560101,11.37499451637268
